Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,FamilyName,TitleEncoded,FamilySize,EmbarkedNum,TicketNumber,TicketHeader,CabinLetter,CabinNumber,Bridge,PassengerByBridge,PassengerByClass,SocialClass
0,3,0,0.275,1,1,A/5 21171,0.014151057562208049,,S, Mr,Braund,0.0,2,0,21171,A/5,nan,0,6,0.5292397660818714,1.0,4
1,1,1,0.475,1,1,PC 17599,0.13913573538264068,C85,C, Mrs,Cumings,1.0,2,2,17599,PC,C,85,2,0.45321637426900585,0.6715399610136452,1
1,3,1,0.325,0,1,STON/O2. 3101282,0.015468569817999833,,S, Miss,Heikkinen,2.0,1,0,3101282,STON/O2.,nan,0,6,0.5292397660818714,1.0,1
1,1,1,0.4375,1,1,113803,0.10364429745562033,C123,S, Mrs,Futrelle,1.0,2,0,113803,113803,C,123,3,0.4166666666666667,0.6715399610136452,1
0,3,0,0.4375,0,1,373450,0.015712553569072387,,S, Mr,Allen,0.0,1,0,373450,373450,nan,0,6,0.5292397660818714,1.0,4
0,3,0,0.325,0,1,330877,0.01650950209357577,,Q, Mr,Moran,0.0,1,1,330877,330877,nan,0,6,0.5292397660818714,1.0,4
0,1,0,0.675,0,1,17463,0.10122885832000206,E46,S, Mr,McCarthy,0.0,1,0,17463,17463,E,46,3,0.4166666666666667,0.6715399610136452,4
0,3,0,0.025,3,1,349909,0.04113566043083236,,S, Master,Palsson,3.0,4,0,349909,349909,nan,0,5,1.0,1.0,3
1,3,1,0.3375,0,2,347742,0.021730754366528396,,S, Mrs,Johnson,1.0,2,0,347742,347742,nan,0,6,0.5292397660818714,1.0,1
1,2,1,0.175,1,1,237736,0.058694292654020104,,C, Mrs,Nasser,1.0,2,2,237736,237736,nan,0,5,1.0,0.6569200779727096,1
1,3,1,0.05,1,1,PP 9549,0.03259622914329302,G6,S, Miss,Sandstrom,2.0,2,0,9549,PP,G,6,6,0.5292397660818714,1.0,1
1,1,1,0.725,0,1,113783,0.051822148727810165,C103,S, Miss,Bonnell,2.0,1,0,113783,113783,C,103,5,1.0,0.6715399610136452,1
0,3,0,0.25,0,1,A/5. 2151,0.015712553569072387,,S, Mr,Saundercock,0.0,1,0,2151,A/5.,nan,0,6,0.5292397660818714,1.0,4
0,3,0,0.4875,1,5,347082,0.06104473451835265,,S, Mr,Andersson,0.0,6,0,347082,347082,nan,0,0,0.06140350877192982,1.0,4
0,3,1,0.175,0,1,350406,0.015330377421392339,,S, Miss,Vestrom,2.0,1,0,350406,350406,nan,0,6,0.5292397660818714,1.0,1
1,2,1,0.6875,0,1,248706,0.03122992013728673,,S, Mrs,Hewlett,1.0,1,0,248706,248706,nan,0,6,0.5292397660818714,0.6569200779727096,1
0,3,0,0.025,4,1,382652,0.056848213999904744,,Q, Master,Rice,3.0,5,1,382652,382652,nan,0,5,1.0,1.0,3
1,2,0,0.325,0,1,244373,0.025374310111545468,,S, Mr,Williams,0.0,1,0,244373,244373,nan,0,6,0.5292397660818714,0.6569200779727096,4
0,3,1,0.3875,1,1,345763,0.03513366015444757,,S, Mrs,Vander Planke,1.0,2,0,345763,345763,nan,0,6,0.5292397660818714,1.0,1
1,3,1,0.3625,0,1,2649,0.014102260811993537,,C, Mrs,Masselmani,1.0,1,2,2649,2649,nan,0,6,0.5292397660818714,1.0,1
0,2,0,0.4375,0,1,239865,0.050748620223090936,,S, Mr,Fynney,0.0,1,0,239865,239865,nan,0,5,1.0,0.6569200779727096,4
1,2,0,0.425,0,1,248698,0.025374310111545468,D56,S, Mr,Beesley,0.0,1,0,248698,248698,D,56,6,0.5292397660818714,0.6569200779727096,4
1,3,1,0.1875,0,1,330923,0.015671954672893913,,Q, Miss,McGowan,2.0,1,1,330923,330923,nan,0,6,0.5292397660818714,1.0,1
1,1,0,0.35,0,1,113788,0.06929138530460492,A6,S, Mr,Sloper,0.0,1,0,113788,113788,A,6,0,0.06140350877192982,0.6715399610136452,4
0,3,1,0.1,3,1,349909,0.04113566043083236,,S, Miss,Palsson,2.0,4,0,349909,349909,nan,0,5,1.0,1.0,1
1,3,1,0.475,1,5,347077,0.061264319894317944,,S, Mrs,Asplund,1.0,6,0,347077,347077,nan,0,0,0.06140350877192982,1.0,1
0,3,0,0.325,0,1,2631,0.014102260811993537,,C, Mr,Emir,0.0,1,2,2631,2631,nan,0,6,0.5292397660818714,1.0,4
0,1,0,0.2375,3,2,19950,0.5133418122566505,C23 C25 C27,S, Mr,Fortune,0.0,5,0,19950,19950,C,23,1,0.17982456140350878,0.6715399610136452,4
1,3,1,0.2375,0,1,330959,0.01537917417160685,,Q, Miss,O'Dwyer,2.0,1,1,330959,330959,nan,0,6,0.5292397660818714,1.0,1
0,3,0,0.325,0,1,349216,0.015411575213749284,,S, Mr,Todoroff,0.0,1,0,349216,349216,nan,0,6,0.5292397660818714,1.0,4
